"0","Mira","Masaki","!G1234567890","123450","1231231231","masaki@njit.edu"
"1","Khoi","Vu Duy","!A1234567890","123456","1234567890","kv353@njit.edu"
"2","Ken","Kaneki","!H1234567890","234560","1231231230","kaneki@njit.edu"
"3","John","Smith","!B1234567890","234567","1231231232","john@njit.edu"
"4","Usami","Kieer","!I1234567890","345670","1231231233","usami@njit.edu"
"5","Eren","Jeager","!C1234567890","345678","1231231234","eren@njit.edu"
"6","Amane","Joid","!A1234567891","456780","1231231235","amane@njit.edu"
"7","Misora","Aqua","!E1234567890","456789","1231231236","misora@njit.edu"
"8","Kairy","Mahiru","!F1234567890","567890","1231231237","kaihiru@njit.edu"
"9","Ten","Nine","!A1234567892","567891","1231231238","tnine@njit.edu"
